========================================
         BYBIT OHLC DATA
========================================
Symbol     : 1000BONKUSDT
Category   : linear
Timeframe  : 5m
Total Data : 35136 candle
Dari       : 2025-06-01 00:00:00 UTC
Sampai     : 2025-09-30 23:55:00 UTC
Generated  : 2026-05-15 05:36:52 UTC
========================================

Waktu (UTC)              | Open          High          Low           Close         Volume          
2025-07-09 01:15:00      | 0.022143      0.022154      0.022034      0.022041      28588600.0000   
2025-07-09 01:20:00      | 0.022041      0.022064      0.021936      0.022028      45595800.0000   
2025-07-09 01:25:00      | 0.022028      0.022030      0.021810      0.021826      47307700.0000   
2025-07-09 01:30:00      | 0.021826      0.021918      0.021751      0.021898      49874200.0000   
2025-07-09 01:35:00      | 0.021898      0.021909      0.021818      0.021870      14644900.0000   
2025-07-09 01:40:00      | 0.021870      0.021890      0.021837      0.021860      10187800.0000   
2025-07-09 01:45:00      | 0.021860      0.021930      0.021850      0.021891      33035700.0000   
2025-07-09 01:50:00      | 0.021891      0.021968      0.021858      0.021951      8860000.0000    
2025-07-09 01:55:00      | 0.021951      0.022141      0.021939      0.022127      40434500.0000   
2025-07-09 02:00:00      | 0.022127      0.022151      0.022052      0.022118      28461800.0000   
2025-07-09 02:05:00      | 0.022118      0.022156      0.022042      0.022055      27822600.0000   
2025-07-09 02:10:00      | 0.022055      0.022228      0.022032      0.022195      39811300.0000   
2025-07-09 02:15:00      | 0.022195      0.022346      0.022136      0.022146      54658100.0000   
2025-07-09 02:20:00      | 0.022146      0.022240      0.022075      0.022229      45409700.0000   
2025-07-09 02:25:00      | 0.022229      0.022294      0.022208      0.022252      17772700.0000   
2025-07-09 02:30:00      | 0.022252      0.022267      0.022189      0.022236      13959600.0000   
2025-07-09 02:35:00      | 0.022236      0.022301      0.022131      0.022143      29715300.0000   
2025-07-09 02:40:00      | 0.022143      0.022202      0.022120      0.022157      11577100.0000   
2025-07-09 02:45:00      | 0.022157      0.022221      0.022147      0.022221      16634600.0000   
2025-07-09 02:50:00      | 0.022221      0.022221      0.022048      0.022054      28098500.0000   
2025-07-09 02:55:00      | 0.022054      0.022074      0.021978      0.022034      23069500.0000   
2025-07-09 03:00:00      | 0.022034      0.022201      0.021995      0.022166      34933900.0000   
2025-07-09 03:05:00      | 0.022166      0.022237      0.022129      0.022147      19317800.0000   
2025-07-09 03:10:00      | 0.022147      0.022276      0.022108      0.022177      50163900.0000   
2025-07-09 03:15:00      | 0.022177      0.022236      0.022153      0.022217      9630300.0000    
2025-07-09 03:20:00      | 0.022217      0.022222      0.022086      0.022145      21219600.0000   
2025-07-09 03:25:00      | 0.022145      0.022211      0.022095      0.022151      10883100.0000   
2025-07-09 03:30:00      | 0.022151      0.022192      0.022114      0.022132      11655100.0000   
2025-07-09 03:35:00      | 0.022132      0.022197      0.022079      0.022106      17468900.0000   
2025-07-09 03:40:00      | 0.022106      0.022174      0.022102      0.022123      4044700.0000    
2025-07-09 03:45:00      | 0.022123      0.022159      0.022055      0.022083      9903900.0000    
2025-07-09 03:50:00      | 0.022083      0.022170      0.022035      0.022094      22520300.0000   
2025-07-09 03:55:00      | 0.022094      0.022139      0.022053      0.022080      8883000.0000    
2025-07-09 04:00:00      | 0.022080      0.022080      0.021950      0.021963      42435500.0000   
2025-07-09 04:05:00      | 0.021963      0.022093      0.021963      0.022060      14450800.0000   
2025-07-09 04:10:00      | 0.022060      0.022062      0.021856      0.021873      19043000.0000   
2025-07-09 04:15:00      | 0.021873      0.021969      0.021867      0.021955      11482800.0000   
2025-07-09 04:20:00      | 0.021955      0.022057      0.021952      0.021996      18385300.0000   
2025-07-09 04:25:00      | 0.021996      0.022023      0.021948      0.021957      7318400.0000    
2025-07-09 04:30:00      | 0.021957      0.021971      0.021871      0.021889      13124700.0000   
2025-07-09 04:35:00      | 0.021889      0.021946      0.021881      0.021903      7841600.0000    
2025-07-09 04:40:00      | 0.021903      0.022021      0.021900      0.021953      30229900.0000   
2025-07-09 04:45:00      | 0.021953      0.022002      0.021926      0.021985      6840200.0000    
2025-07-09 04:50:00      | 0.021985      0.021985      0.021906      0.021932      7102900.0000    
2025-07-09 04:55:00      | 0.021932      0.022053      0.021929      0.021975      12392800.0000   
